,Velocidad Entrega,Precio,Durabilidad,Imagen Producto,Valor Educativo,Servicio Retorno,Tamano Paquete,Calidad Producto,Numero Estrellas
Adam,205,3,345,235,24,23,26,21,17
Anna,9,15,315,33,25,4,42,215,28
Bernard,17,26,285,3,43,27,41,26,33
Edward,135,5,355,295,18,23,39,195,17
Emilia,3,45,48,39,34,46,225,34,43
Fabian,95,165,395,24,26,19,485,22,3
Philip,23,12,475,33,35,45,38,29,31
Frank,65,21,31,255,28,22,345,215,29
Xavier,275,8,47,235,35,3,38,27,48
Gabriel,2,175,325,3,37,32,435,27,39
Marisol,12,8,44,24,2,28,29,215,17
Henry,195,11,455,23,3,25,415,25,32
Irene,14,7,405,19,21,14,33,22,24
Isabelle,185,75,43,285,27,37,335,25,23
Isidore,235,65,495,335,3,26,34,295,39
Joseph,17,1,485,235,27,17,24,235,34
Eugene,16,205,285,255,36,29,31,22,23
Eugenia,245,9,385,215,34,15,295,28,25
Eunice,265,7,485,305,33,39,34,295,39
Eva,235,65,495,335,3,26,34,3,4
Evdokia,165,45,43,2,21,18,315,225,26
Fedir,17,2,415,125,12,17,26,165,2
Felix,15,2,455,355,35,34,42,26,4
Fialka,12,75,335,24,19,25,36,185,21
Flavia,255,7,435,24,33,26,19,245,34
Flora,23,105,395,29,34,28,235,295,34
Florent,12,75,33,24,19,25,36,185,21
Florence,26,65,485,305,32,39,335,29,39
Hannah,175,14,495,175,31,17,27,27,34
Helen,205,185,295,275,39,3,42,255,31
Herman,15,16,3,265,31,3,4,165,28
Hilary,14,19,445,345,33,32,41,25,38
Lourdes,26,1,465,295,37,24,23,305,45
Isadore,17,185,32,285,35,34,42,19,32
Ivan,12,5,385,17,17,11,31,205,2
Jacob,9,165,375,225,25,24,38,18,24
Jeremiah,18,2,29,29,37,25,465,24,29
Jervis,2,45,455,27,24,26,365,255,31
Joachim,0,105,345,27,11,26,445,195,14
John,12,1,32,225,21,22,44,165,13
Santiago,95,17,38,23,26,25,385,185,25
Josephine,295,45,48,39,34,46,225,335,43
Judith,245,115,465,225,36,13,31,295,38
Justin,25,65,43,235,31,25,185,24,33
Kalyna,1,13,325,185,24,17,425,16,23
Larissa,25,125,47,23,37,14,315,3,39
Lawrence,155,95,5,225,26,32,19,245,4
Leon,17,195,28,28,36,23,455,235,28
Leonard,29,1,44,225,3,24,335,245,42
Leonid,27,105,4,15,38,14,26,19,38
Lesia,185,35,41,3,21,25,26,25,26
Leo,13,24,41,25,36,25,45,26,38
Louise,225,205,315,295,43,34,44,275,35
Lubomyr,14,12,335,245,25,26,46,185,17
Lydia,19,4,435,145,16,21,28,185,24
Magdalyna,145,13,385,35,28,36,385,21,32
Maksym,245,22,37,345,46,4,48,31,47
Marcel,27,125,48,275,4,3,385,3,5
Margaret,215,9,38,27,31,25,22,28,31
Maria,115,225,4,235,33,22,435,25,35
Marian,155,95,495,225,26,31,19,24,39
Marianna,255,95,46,29,36,23,225,305,45
Markian,205,55,465,275,25,27,37,265,32
Marko,15,19,275,245,34,26,3,21,21
Martha,55,1,36,235,16,32,5,17,25
Martin,185,7,45,225,26,23,34,245,3
Maryna,21,125,46,31,33,39,365,3,44
Matthew,8,225,32,265,3,25,355,225,31
Maura,265,85,425,185,35,19,24,215,43
Maya,115,185,415,26,3,23,455,24,34
Maximillian,18,27,295,31,45,29,42,27,35
Melania,28,11,41,155,4,16,265,195,4
Methodius,18,11,495,24,29,19,245,245,36
Michael,26,65,455,225,33,27,365,255,45
Michaelina,15,1,33,33,24,27,41,205,26
Mina,21,12,47,245,32,27,425,26,34
Monica,19,4,415,305,22,26,265,255,27
Mykyta,165,13,485,165,29,15,26,255,32
Myron,5,95,355,225,15,31,495,165,24
Myroslav,225,8,435,23,31,21,34,255,41
Myroslava,275,9,435,19,36,21,245,225,44
Salome,17,23,275,41,4,44,315,28,32
Samuel,8,14,305,32,23,38,41,205,26
Sandra,115,185,38,25,3,25,37,22,22
Sarah,13,15,425,3,28,28,34,28,38
Savina,125,155,35,21,28,22,45,185,28
Sebastian,12,145,42,295,27,27,335,275,36
Sophia,105,175,37,24,28,23,36,215,21
Stephan,145,6,365,305,2,25,4,2,19
Stephania,215,125,465,315,34,4,37,305,45
Susanna,15,14,39,355,3,38,395,22,34
Sylvan,24,85,38,21,33,14,29,275,24
Sylvester,155,21,255,39,36,4,295,26,28
Tamara,95,135,25,245,22,25,41,18,21
Theodore,2,25,335,225,22,21,25,2,16
Teofan,3,8,32,25,7,21,42,17,1
Teofil,305,25,46,24,33,28,355,26,45
Teofila,1,14,26,25,24,27,42,185,23
Teon,155,11,335,34,26,29,42,215,27
Teresa,125,9,45,25,22,3,3,22,18
